disaster_type,alert_level,country,severity,longitude,latitude
drought,Green,"Germany, Denmark, France, Latvia, Poland, Sweden",80936,11.087,53.882
drought,Green,Uzbekistan,18686,65.5,40.996
drought,Green,Brazil,87604,-50.105,-21.917
drought,Orange,Australia,142608,144.5,-33.5
drought,Orange,Madagascar,68692,46.464,-19.498
drought,Green,"Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, T?kiye, Ukraine",1677855,35,48.0005
drought,Green,South Africa,52380,22.697,-33.111
drought,Green,Indonesia,78469,113.779,-7.899
drought,Green,Brazil,104035,-38.05,-9.451
drought,Green,United States,229250,-108.489,39.448
drought,Green,"The Gambia, Guinea, Guinea-Bissau, Senegal",59944,-14.494,12.496
drought,Green,Brazil,220613,-49.498,-5.222
drought,Green,United States,41910,-97,31.998
drought,Orange,"China, India, Myanmar, Nepal",106336,80.962,18.303
drought,Green,"Bangladesh, India, Myanmar, Nepal",485175,86.74,24.199
drought,Green,Russia,150479,95.317,56.584
drought,Green,"Congo, DRC",86129,25.928,0.928
drought,Green,Philippines,44740,121.417,17.326
drought,Orange,"India, Pakistan",113171,68.889,25.391
drought,Green,Madagascar,51870,45,-17.5
drought,Green,China,133152,111,34
drought,Green,Mexico,57097,-98.559,22.285
drought,Green,"Cameroon, Equatorial Guinea",38879,11.101,3.76
drought,Orange,"Guatemala, Mexico",35561,-91.497,15.834
drought,Orange,"Belize, Guatemala, Mexico",113927,-90,17.999
drought,Orange,"Cambodia, Laos, Thailand, Vietnam",178155,104.192,16.099
drought,Green,"Central African Republic, Chad",97497,17.623,8.123
drought,Green,"Belize, Guatemala, Honduras, Mexico",65060,-88.906,16.489
drought,Green,Ecuador,54569,-79.4315,-0.5
drought,Green,"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan",47602,69.092,39.682
drought,Green,Chile,28903,-72.571,-37.004
drought,Orange,"Afghanistan, Pakistan, Tajikistan",39891,72.755,36.251
drought,Red,"Afghanistan, Iran, Pakistan, Tajikistan",113210,63.5,34.5
drought,Orange,"Belize, Guatemala, Honduras, Mexico, Nicaragua",113247,-87.068,15.357
drought,Green,"Croatia, Hungary, Romania, Serbia",59261,19.629,46.93
drought,Green,"Azerbaijan, Russia",78481,46.8135,43
