name,infrastructure_type,latitude,longitude
Thudiyalur Police Station,police,11.0820675,76.9412411
SREC Health Center,hospital,11.1005451,76.9637445
Kalaignar Karunanidhi Nagar,hospital,13.0386493,80.2052158
Kasimedu,hospital,13.122775,80.2960584
Mambalam Police Station,police,13.0349573,80.22946
Amrit Hospital,hospital,13.0922007,80.2792912
Vikram Hospital,hospital,13.0985007,80.2796178
Royapettah PS,police,13.0520106,80.2637348
City Tower Hospitals,hospital,13.08438,80.2160862
,fire_station,13.0637765,80.2356816
,police,13.0596173,80.2427681
Government Hospital,hospital,11.4085627,76.7002627
Sri Ramakrishna Dental Hospital,hospital,11.0212988,76.9883526
"Apollo Hospitals, Tondiarpet",hospital,13.1289367,80.2905623
K.H.M.Hospital,hospital,13.0844424,80.2130723
Sundaram Medical Foundation,hospital,13.08217,80.2069819
Sri Devi Speciality Hospial,hospital,13.0887983,80.1994692
S-8 Adambakkam Police Station,police,12.9893957,80.2019683
Teynampet E3 PS,police,13.048651,80.2494881
Teynampet FS,fire_station,13.0474469,80.249119
Corporation Hospital,hospital,13.0336624,80.2572467
Police Station,police,10.6571159,77.0083512
,police,10.6565729,77.0184714
"Hindu Mission Health Services, Kanchipuram",hospital,12.9787682,80.1846471
Parvathy Nursing Home,hospital,11.4156645,76.7088458
Military Hospital,hospital,13.0194622,80.1972947
Goverment dental hospital & collage,hospital,13.0829605,80.281264
Kilpauk Medical College,hospital,13.0785984,80.2433369
Hariharan Hospital,hospital,12.9847145,80.1905906
BM Hospital,hospital,12.9887616,80.1904116
K.F. Hospital,hospital,12.973463,80.1841397
Cancer Institute,hospital,13.0061338,80.239884
Adyar J2,police,12.997814,80.2557176
Sri Ramachandra Medical Centre and Hospital,hospital,13.0380979,80.1428047
,police,12.9814685,80.192063
Govt Maternity Hospital,hospital,13.0720996,80.2589871
Institute of Child Health,hospital,13.0735496,80.257025
Institute of Obstetrics and Gynaecology dd,hospital,13.0735431,80.2591463
Central Station PS,police,13.0818276,80.2755071
Chennai Central RPF,police,13.0830613,80.2732996
Ellen Multispeciality Hospital,hospital,11.0213634,76.9708723
GP Hospital,hospital,11.0201233,76.9710726
Saravana Dental Care Hospital,hospital,11.0028292,76.9513725
Senthil Hospital,hospital,11.0089752,76.9578034
Dr. S. G. Rajarathinam Hospital,hospital,11.0095256,76.9619316
RTO Check Post,police,8.3307076,77.1742787
Tax Check Post,police,8.3242251,77.1817641
"K. G. Hospital, Coimbatore",hospital,11.0004227,76.9715023
B1 Saint Thomas Mount PS,police,12.9991212,80.200262
Sengaliappan Nursing Home,hospital,11.0165542,76.955239
Kalpakkam Police Station,police,12.5037687,80.1533696
DAE Hospital,hospital,12.5037319,80.159635
Dharapuram Police Station,police,10.7312269,77.5240154
Sadras Police Station,police,12.5251654,80.1626667
MIOT International,hospital,13.0211808,80.1858412
Koyambedu Police Station,police,13.0696407,80.2004587
St. Thomas Hospital,hospital,13.0122733,80.196428
Govt Primary Health Centre,hospital,12.5274531,80.1631378
E1 Police Station,police,11.412076,76.6884781
"Office, Police Commissioner",police,13.0100865,80.1990931
,hospital,13.009781,80.1949734
T15 SRMC PS,police,13.0341993,80.1602489
Venkataeswara Hospitals,hospital,13.0293624,80.2440921
Government Hospital,hospital,12.7289287,77.8253132
KK Nagar PS,police,13.0415108,80.2054415
N4 PS,police,13.1345408,80.2974596
Virugambakkam Police Station,police,13.0491123,80.1992562
,police,13.03694,80.2674177
Sarswathi Hospital,hospital,12.9653846,80.2067733
Apollo Clinic & Pharmacy,hospital,13.05244,80.2041657
Vijaya Heart Centre,hospital,13.0483819,80.2070144
PAMC Hospital (Pandian Advanced Medical Centre),hospital,9.9267975,78.1420027
Aravind Eye Hospitals,hospital,9.9212003,78.1398805
Government Vetinary Hospital,hospital,9.9317265,78.1401058
Government Hospital,hospital,10.2512627,78.8135488
B.M.Orthopaedic Hospital,hospital,13.1181104,80.1499411
skandan nursing home,hospital,12.9447938,80.1405596
"Vasan Eye Care Hospital, Vadapalani",hospital,13.0495316,80.211027
JJ Hospital,hospital,13.0571293,80.1942138
Ramanathan Hospital,hospital,10.7729537,79.1331354
"S.B. Hospital Urology, Nephrology & Fertility Research Centre",hospital,10.7755458,79.1254
AVM Medical Centre,hospital,10.7876968,79.1384135
KRA Hospital,hospital,10.7869754,79.1397985
Police Booth,police,13.0737484,80.1923421
Police Booth,police,13.0656907,80.1935705
Neomed Hospital,hospital,9.9291508,78.148482
KMCH Hospital,hospital,11.2788797,77.5848796
Police Station,police,11.277733,77.5865812
Velachery,police,12.9850126,80.2208713
Bala Hospital,hospital,10.9969296,76.995705
,police,10.9952707,76.9681824
District Police Office,police,10.9990022,76.9677805
,hospital,10.6171687,77.9407588
"Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",hospital,11.0158724,76.9594235
Krishna Nursing Home,hospital,11.0152327,76.9593766
"Kongunad Hospital, Coimbatore",hospital,11.018058,76.9604883
Sheela Clinic,hospital,11.01843,76.9604642
Police Booth,police,13.0447322,80.1862162
Appasamy Hospital,hospital,13.0750445,80.2151198
Appasamy Hospital,hospital,13.073239,80.2148826
Appolo Clinic,hospital,13.0892073,80.2178866
Ganapathy FireStation,fire_station,11.0391993,76.9975014
E6,police,13.2718063,80.2625092
Chintadripet,police,13.0749088,80.2725042
"Sankara Eye Hospital, Kanchipuram",hospital,12.965059,80.128212
S6 Shankar Nagar Police Station,police,12.9692797,80.1257959
Vadapalani Police station,police,13.049673,80.2117315
Ramapuram Police Station,police,13.0317737,80.1790069
Srm Speciality Hospital,hospital,13.0331325,80.1810857
SRM Dental Hospital,hospital,13.0321291,80.1801201
"Surya Hospital, Coimbatore",hospital,11.0390101,76.979517
Ukkadam Police Station(B2),police,10.9890037,76.9615341
Womens Police Station,police,11.0155688,76.9683463
Fair Pharma,hospital,10.8927566,76.9246984
Kattor Police Station,police,11.0153033,76.968307
Madukkarai Police Station,police,10.911453,76.9490401
Vasan eye Care Hospital,hospital,10.9560967,76.9540004
Aakash Fertility Centre & Hospital,hospital,13.0554597,80.2118365
,hospital,12.9445695,80.1210689
Rajan Eye Care Hospital,hospital,13.0508335,80.2434416
,hospital,10.3285722,76.9558507
,police,10.3289364,76.9574477
MMC Govenment Hospital,hospital,13.1635998,80.2435516
Avadi Hospital,hospital,13.1174941,80.1008132
TIRUPPUR NORTH,police,11.107892,77.3450511
Dr. Nathaji Nursing Home,hospital,12.8302996,79.7031901
Police booth,police,12.9651635,80.2060352
sree dhanalakshmi family clinic,hospital,13.0583046,80.211745
,police,13.1244932,80.2771688
Lotus Hospital,hospital,11.3266236,77.7306301
Karamadai Police Station,police,11.2395224,76.9595897
PSG Hospitals,hospital,11.0188398,77.0073136
K T V R Group Hospital,hospital,11.026167,76.9499384
Bhadra Homeo,hospital,12.9663879,80.2474724
Porur Police Station,police,13.0343074,80.1601292
Coimbatore Bone and Joint Foundation (P) Ltd.,hospital,11.0149404,76.9543844
Deiva Hospital,hospital,10.7746145,79.1231818
"Womens Medical Centre, Coimbatore",hospital,11.0337824,76.9517175
Masonic Medical Centre For Children,hospital,10.9997961,76.9799441
Somu medicals,hospital,11.0264568,76.9448591
Akila Medicals,hospital,11.0265516,76.9443924
Dr.U.S.Prakash's Clinic,hospital,11.0256249,76.9372845
KG Eye Hospital,hospital,11.0825506,76.997422
"Shree Siva Hospital, Ganapathy,",hospital,11.0441103,76.9856071
"C2- Race Course Police Station, Coimbatore",police,11.001692,76.9713177
Mettupalayam GH,hospital,11.3047109,76.9364387
Balasubramaniam Vengudi Hospital,hospital,12.8307101,79.7035972
Hindustan Hospital,hospital,11.2816017,76.9462511
K.R. Hospital,hospital,11.1564875,76.944041
Kalpaviruksha Ayurvedic Hospital,hospital,11.1293552,76.9351656
C-3 Saibaba Colony Police Station,police,11.0266348,76.9515967
Sai Shraddha Hospitality,hospital,11.0254581,76.9726262
Vega ENT Hospitals,hospital,11.0144183,76.9437894
